city,state,incidents,victims,gva_incidents,POP_TEENS,POP_TOTAL,victimrate_over_teens,victimrate_over_total,incidentrate_over_teens,incidentrate_over_total,gvarate_over_teens,gvarate_over_total
Tyler,Texas,1,1,88,7459,103700,3.830463677628177e-5,2.7552004408320703e-6,3.830463677628177e-5,2.7552004408320703e-6,0.011797828127094784,8.486017357762777e-4
Meridian,Idaho,1,1,16,7464,90739,3.82789771857296e-5,3.1487484512093558e-6,3.82789771857296e-5,3.1487484512093558e-6,0.0021436227224008574,1.7632991326772392e-4
O'Fallon,Missouri,1,1,11,7588,85040,3.7653437758867384e-5,3.3597634726515255e-6,3.7653437758867384e-5,3.3597634726515255e-6,0.0014496573537163943,1.2935089369708373e-4
Hawthorne,California,1,1,22,7591,88451,3.763855693772701e-5,3.2301984795455757e-6,3.763855693772701e-5,3.2301984795455757e-6,0.0028981688842049796,2.487252829250093e-4
Pharr,Texas,1,1,7,7636,76538,3.741674773628676e-5,3.7329729770086196e-6,3.741674773628676e-5,3.7329729770086196e-6,9.167103195390257e-4,9.145783793671118e-5
Costa Mesa,California,1,1,10,7661,113204,3.7294646353515956e-5,2.523888605652501e-6,3.7294646353515956e-5,2.523888605652501e-6,0.0013053126223730584,8.833610119783753e-5
Las Cruces,New Mexico,1,1,50,7746,101643,3.6885397071299475e-5,2.8109588039932482e-6,3.6885397071299475e-5,2.8109588039932482e-6,0.006454944487477408,4.919177906988184e-4
Bellflower,California,1,1,14,7762,78441,3.68093643022785e-5,3.642410037025098e-6,3.68093643022785e-5,3.642410037025098e-6,0.0018036588508116465,1.784780918142298e-4
Deltona,Florida,1,1,53,7781,88474,3.671948152092093e-5,3.2293587462337604e-6,3.671948152092093e-5,3.2293587462337604e-6,0.0068114638221308315,5.990460474263625e-4
Whittier,California,1,1,31,7933,87438,3.6015919036214006e-5,3.267621465658932e-6,3.6015919036214006e-5,3.267621465658932e-6,0.003907727215429219,3.5453692902399415e-4
Lynwood,California,1,1,15,7982,71989,3.5794824068439704e-5,3.968860321914261e-6,3.5794824068439704e-5,3.968860321914261e-6,0.0018792282635930844,2.083651669004987e-4
Amarillo,Texas,2,2,263,16054,198645,3.559415543967681e-5,2.8766320392084946e-6,3.559415543967681e-5,2.8766320392084946e-6,0.01638221004111125,0.0013239698960457098
Pearland,Texas,1,1,14,8048,108821,3.5501278046009656e-5,2.625543651632366e-6,3.5501278046009656e-5,2.625543651632366e-6,0.0017395626242544733,1.2865163892998593e-4
Davie,Florida,1,1,23,8235,100882,3.469511666232978e-5,2.8321631779136588e-6,3.469511666232978e-5,2.8321631779136588e-6,0.002792956891317547,2.2798913582204952e-4
Vista,California,1,1,16,8251,100890,3.462783731842028e-5,2.8319386035710746e-6,3.462783731842028e-5,2.8319386035710746e-6,0.0019391588898315356,1.585885617999802e-4
Abilene,Texas,1,1,94,8298,121721,3.4431704713700375e-5,2.347288353811468e-6,3.4431704713700375e-5,2.347288353811468e-6,0.011328030850807424,7.72257868403973e-4
Elk Grove,California,1,2,12,17030,166913,3.355423202751447e-5,3.423511478606049e-6,1.6777116013757234e-5,1.7117557393030245e-6,7.046388725778039e-4,7.189374105072702e-5
Independence,Missouri,1,1,50,8554,117255,3.340124920672033e-5,2.436691703673922e-6,3.340124920672033e-5,2.436691703673922e-6,0.005845218611176058,4.264210481429363e-4
Ontario,California,2,2,45,17214,171214,3.319557171073379e-5,3.3375107843317218e-6,3.319557171073379e-5,3.3375107843317218e-6,0.0026141512722202857,2.6282897426612307e-4
Odessa,Texas,1,1,60,8623,118968,3.313397723695764e-5,2.4016061942226962e-6,3.313397723695764e-5,2.4016061942226962e-6,0.006958135219761104,5.043373007867661e-4
Mission Viejo,California,1,1,3,8675,97156,3.293536434746809e-5,2.9407786005422795e-6,3.293536434746809e-5,2.9407786005422795e-6,3.45821325648415e-4,3.087817530569394e-5
High Point,North Carolina,1,1,74,8716,110268,3.278043663541598e-5,2.591089760531484e-6,3.278043663541598e-5,2.591089760531484e-6,0.00849013308857274,6.710922479776544e-4
Springfield,Missouri,1,1,226,8838,166810,3.232793456826043e-5,1.712812695367698e-6,3.232793456826043e-5,1.712812695367698e-6,0.025571396243494002,0.001354834842035849
Yuma,Arizona,1,1,24,8953,94139,3.191268688867259e-5,3.035025714255364e-6,3.191268688867259e-5,3.035025714255364e-6,0.0026806656986484976,2.549421599974506e-4
Gresham,Oregon,1,1,45,8973,110553,3.184155641527758e-5,2.584410063175904e-6,3.184155641527758e-5,2.584410063175904e-6,0.0050150451354062184,4.070445849502049e-4
Lee's Summit,Missouri,1,1,6,9e3,95094,3.1746031746031745e-5,3.004545877913283e-6,3.1746031746031745e-5,3.004545877913283e-6,6.666666666666666e-4,6.309546343617894e-5
Waco,Texas,1,1,60,9261,132356,3.085134280469557e-5,2.158680269230603e-6,3.085134280469557e-5,2.158680269230603e-6,0.00647878198898607,4.5332285653842665e-4
San Jose,California,8,8,177,74706,1026908,3.059612729518761e-5,2.2258218708144114e-6,3.059612729518761e-5,2.2258218708144114e-6,0.0023692876074210907,1.72362081121191e-4
San Diego,California,9,10,276,93779,1394928,3.0466766089880006e-5,2.048236795836672e-6,2.7420089480892007e-5,1.8434131162530049e-6,0.0029430896042824087,1.9785967447782251e-4
Hollywood,Florida,1,1,47,9399,149728,3.0398370647333303e-5,1.908222147589534e-6,3.0398370647333303e-5,1.908222147589534e-6,0.005000531971486328,3.139025432784783e-4
Surprise,Arizona,1,1,11,9572,128422,2.984896424094084e-5,2.224807943454281e-6,2.984896424094084e-5,2.224807943454281e-6,0.0011491851232762224,8.565510582298984e-5
Midland,Texas,1,1,40,9643,132950,2.962919067865661e-5,2.149035620265406e-6,2.962919067865661e-5,2.149035620265406e-6,0.004148086695011926,3.0086498683715683e-4
Tucson,Arizona,4,4,224,38965,531641,2.9330351414272883e-5,2.149678340942747e-6,2.9330351414272883e-5,2.149678340942747e-6,0.0057487488771974845,4.213369548247784e-4
Eugene,Oregon,1,1,41,9930,163460,2.8772838440512156e-05,1.7479156106343185e-6,2.8772838440512156e-05,1.7479156106343185e-6,0.004128902316213495,2.5082589012602474e-4
Anaheim,California,3,3,50,31459,350742,2.7246347854123052e-5,2.4437987385110913e-6,2.7246347854123052e-5,2.4437987385110913e-6,0.0015893702914905115,1.42554926413147e-4
