city,state,incidents,victims,gva_incidents,POP_TEENS,POP_TOTAL,victimrate_over_teens,victimrate_over_total,incidentrate_over_teens,incidentrate_over_total,gvarate_over_teens,gvarate_over_total
North Charleston,South Carolina,13,15,269,6891,108304,6.219292244542571e-4,3.9571154211426036e-5,5.390053278603561e-4,3.4295000316569236e-5,0.03903642432157887,0.002483749446003841
Atlanta,Georgia,43,50,1058,23385,463878,6.108922080698861e-4,3.0796274636249805e-5,5.253672989401021e-4,2.648479618717483e-5,0.045242676929655765,0.0022807720995606604
Memphis,Tennessee,97,119,1845,56109,655770,6.059633926821009e-4,5.184744651325922e-5,4.939365469761663e-4,4.2262204300723904e-5,0.032882425279366946,0.002813486435793037
Wilmington,North Carolina,9,13,355,6195,115933,5.995618586417618e-4,3.203820926126051e-5,4.1508128675198894e-4,2.2180298719334195e-5,0.057304277643260695,0.00306211346208586
Washington,District of Columbia,49,66,1966,32085,672228,5.877245708942764e-4,2.8051706946367687e-5,4.363409693002961e-4,2.0826267278363887e-5,0.06127473897459872,0.002924602962090243
Richmond,California,14,17,125,8273,109708,5.871078033534217e-4,4.427336982847976e-5,4.8350054393811193e-4,3.646042221168921e-5,0.015109391998065998,0.001139388194115288
Portsmouth,Virginia,14,14,198,6967,96201,5.741352088416823e-4,4.157960935957007e-5,5.741352088416823e-4,4.157960935957007e-5,0.02841969283766327,0.002058190663298718
Buffalo,New York,34,42,731,21020,258071,5.70884871550904e-4,4.649883171685311e-5,4.621448960173984e-4,3.7641911389833476e-5,0.03477640342530923,0.002832553832084969
New Haven,Connecticut,16,18,327,9437,130322,5.449673776472548e-4,3.946269350422141e-5,4.8441544679755975e-4,3.507794978153015e-5,0.03465084242873795,0.002509169595310078
Knoxville,Tennessee,18,19,314,10163,185291,5.341504898722256e-4,2.929754509701728e-5,5.0603730619474e-4,2.7755569039279528e-5,0.03089638886155663,0.0016946316874537888
Bridgeport,Connecticut,18,22,407,11770,147629,5.34045393858478e-4,4.257777459519665e-5,4.369462313387547e-4,3.483636103243362e-5,0.03457943925233645,0.002756910905038983
Toledo,Ohio,38,41,611,22102,279789,5.300102123918973e-4,4.186828543754656e-5,4.912289773388316e-4,3.880475235675047e-5,0.027644557053660302,0.0021837884977608125
Springfield,Illinois,15,16,225,8640,116565,5.291005291005291e-4,3.921784902353684e-5,4.96031746031746e-4,3.676673345956579e-5,0.026041666666666668,0.0019302535066272038
Oakland,California,46,47,1208,25620,419267,5.241440838630534e-4,3.202868679999005e-5,5.129920820787331e-4,3.134722537871367e-5,0.047150663544106165,0.002881218889156552
Durham,North Carolina,25,27,398,14760,257636,5.226480836236934e-4,2.9942576791619626e-5,4.8393341076267905e-4,2.7724608140388542e-5,0.026964769647696476,0.0015448151655824496
Peoria,Illinois,12,16,524,8942,115070,5.112311084129469e-4,3.972737091708153e-5,3.834233313097102e-4,2.9795528187811144e-5,0.058599865801834045,0.00455374989137047
Columbus,Ohio,82,95,986,53526,850106,5.070966846552543e-4,3.192879140113956e-5,4.377045067550616e-4,2.7559588367299405e-5,0.01842095430258192,0.0011598553592140274
Grand Rapids,Michigan,21,24,289,13616,195097,5.036091992613732e-4,3.514735161044433e-5,4.4065804935370154e-4,3.0753932659138784e-5,0.02122502937720329,0.0014813144230818515
Evansville,Indiana,11,14,231,8097,119943,4.940101272076078e-4,3.33491741910741e-5,3.8815081423454895e-4,2.6202922578701075e-5,0.02852908484623935,0.001925914809534529
Ocala,Florida,5,7,148,4066,58218,4.918839153959665e-4,3.435363633240578e-5,3.5134565385426184e-4,2.4538311666004133e-5,0.03639940973930152,0.002542169088598028
Hammond,Indiana,10,12,87,7201,77614,4.7612434780883606e-4,4.4174651848525116e-5,3.967702898406967e-4,3.681220987377093e-5,0.012081655325649216,0.0011209317906563248
Elkhart,Indiana,7,7,71,4280,52348,4.6728971962616824e-4,3.8205853136700544e-5,4.6728971962616824e-4,3.8205853136700544e-5,0.016588785046728973,0.0013563077863528693
Dayton,Ohio,17,17,813,10457,140599,4.644872197707619e-4,3.454606972412931e-5,4.644872197707619e-4,3.454606972412931e-5,0.07774696375633547,0.005782402435294704
Nashville,Tennessee,55,61,1092,37985,654610,4.588277327516501e-4,2.6624358669393117e-5,4.1369713608755337e-4,2.4005569292075762e-5,0.028748190075029618,0.0016681688333511557
Baton Rouge,Louisiana,26,27,628,16879,228590,4.570345230336936e-4,3.3747258035284634e-5,4.401073184768901e-4,3.249735958953335e-5,0.03720599561585402,0.002747276783761319
Rock Hill,South Carolina,7,8,278,5057,71548,4.519901692138196e-4,3.194658530936275e-5,3.9549139806209217e-4,2.7953262145692403e-5,0.05497330433063081,0.003885503438251244
Jackson,Tennessee,7,8,249,5063,66975,4.514545300640501e-4,3.412787287367355e-5,3.9502271380604387e-4,2.9861888764464352e-5,0.04918032786885246,0.0037178051511758117
Jersey City,New Jersey,22,25,412,16327,264290,4.374874222366107e-4,2.702658875802014e-5,3.8498893156821743e-4,2.3783398107057722e-5,0.025234274514607705,0.0015588936395626017
Jacksonville,Florida,84,97,1940,63771,868031,4.3459073425672665e-4,3.192776031534094e-5,3.763466152326293e-4,2.7648782128748858e-5,0.030421351397970864,0.002234943222073866
Greenville,South Carolina,4,5,199,3304,64579,4.3237634036665516e-4,2.2121299936069444e-5,3.459010722933241e-4,1.7697039948855554e-5,0.06023002421307506,0.0030814970810944735
Louisville,Kentucky,60,69,1118,46023,615366,4.2835724994645533e-4,3.2036683395386995e-5,3.7248456517083073e-4,2.7857985561206083e-5,0.024292201725224345,0.00181680495834999
Philadelphia,Pennsylvania,155,173,2369,115640,1567442,4.274348964767505e-4,3.1534545730286305e-5,3.8296190146760886e-4,2.8253494729447268e-5,0.02048599100657212,0.001511379687414271
