city,state,POPESTIMATE2015,teen_incidents_tot,teen_vic_incidents,teen_perp_incidents,gva_incidents
Springfield,Illinois,116565,18,13,9,132
Springfield,Massachusetts,154341,13,7,8,273
St. Louis,Missouri,315685,117,87,31,1315
St. Paul,Minnesota,300851,10,6,4,84
St. Petersburg,Florida,257083,13,10,5,74
Stockton,California,305658,18,16,3,157
Syracuse,New York,144142,52,41,17,329
Tacoma,Washington,207948,15,10,9,89
Tampa,Florida,369075,32,24,9,323
Toledo,Ohio,279789,42,34,11,477
Trenton,New Jersey,84225,37,30,7,332
Tucson,Arizona,531641,6,3,3,168
Tulare,California,62315,6,3,4,19
Tulsa,Oklahoma,403505,39,23,21,554
Tuscaloosa,Alabama,98332,12,7,6,112
Valdosta,Georgia,55724,7,4,5,69
Virginia Beach,Virginia,452745,17,7,10,159
Washington,District of Columbia,672228,58,43,18,1545
Waterloo,Iowa,68460,20,13,9,111
West Palm Beach,Florida,106779,23,16,8,199
Wichita,Kansas,389965,27,19,10,290
Wilmington,Delaware,71948,59,47,16,457
Wilmington,North Carolina,115933,13,10,4,218
Winston-Salem,North Carolina,241218,10,4,6,122
Worcester,Massachusetts,184815,8,7,1,103
Youngstown,Ohio,64628,6,3,3,67
