city,state,POPESTIMATE2015,teen_incidents_tot,teen_vic_incidents,teen_perp_incidents,gva_incidents,teen_incidents_tot_per_capita
Montgomery,Alabama,200602,18,12,8,281,0.0000897299129619844
Newark,New Jersey,281944,25,18,9,384,0.0000886700905144284
Tampa,Florida,369075,32,24,9,323,0.0000867032445979814
Washington,District of Columbia,672228,58,43,18,1545,0.0000862802501532218
Lakeland,Florida,104401,9,6,5,43,0.0000862060708230764
Springfield,Massachusetts,154341,13,7,8,273,0.0000842290771732722
Huntsville,Alabama,190582,16,13,5,316,0.00008395336390635
Salinas,California,157380,13,12,1,167,0.0000826026178675816
Albany,New York,98469,8,2,6,104,0.0000812438432400045
Hartford,Connecticut,124006,10,9,2,235,0.0000806412592939051
Fayetteville,North Carolina,201963,15,10,8,227,0.0000742710298420998
Everett,Washington,108010,8,5,5,37,0.0000740672159985187
New Bedford,Massachusetts,94958,7,3,4,45,0.0000737168011120706
Brockton,Massachusetts,95314,7,4,3,85,0.0000734414671506809
Tacoma,Washington,207948,15,10,9,89,0.0000721334179698771
Kansas City,Missouri,475378,34,27,10,635,0.000071522030889103
Las Vegas,Nevada,623747,44,34,15,775,0.0000705414214417063
Roanoke,Virginia,99897,7,7,NA,119,0.0000700721743395698
Wichita,Kansas,389965,27,19,10,290,0.0000692369828061493
Fort Smith,Arkansas,88194,6,4,3,36,0.0000680318389006055
Fresno,California,520052,35,26,15,458,0.0000673009622114712
Columbia,Missouri,119108,8,3,6,116,0.00006716593343856
Antioch,California,110542,7,4,3,70,0.000063324347306906
Lawton,Oklahoma,96655,6,2,5,55,0.0000620764575034918
Cedar Rapids,Iowa,130405,8,7,5,89,0.0000613473409761896
Stockton,California,305658,18,16,3,157,0.0000588893469171427
Santa Maria,California,105093,6,6,NA,30,0.0000570922896862779
Salt Lake City,Utah,192672,11,7,6,138,0.0000570918452084371
Boston,Massachusetts,667137,37,19,21,529,0.0000554608723545539
Santa Ana,California,335400,18,17,1,132,0.0000536672629695885
Minneapolis,Minnesota,410939,22,19,4,270,0.000053535926256695
Kansas City,Kansas,151306,8,6,3,138,0.0000528729858696945
Charleston,South Carolina,132609,7,3,4,120,0.0000527867640959513
Sioux Falls,South Dakota,171544,9,3,8,43,0.0000524646737863172
Lansing,Michigan,115056,6,2,4,98,0.0000521485189820609
San Bernardino,California,216108,11,10,1,134,0.0000509004756880819
St. Petersburg,Florida,257083,13,10,5,74,0.0000505673265054477
Killeen,Texas,140806,7,3,4,107,0.000049713790605514
Corpus Christi,Texas,324074,16,8,9,281,0.0000493714398563291
Charlotte,North Carolina,827097,38,22,21,661,0.0000459438252103441
Pomona,California,153266,7,7,NA,56,0.0000456722299792518
Greensboro,North Carolina,285342,13,10,3,325,0.000045559363851098
Reno,Nevada,241445,11,9,7,105,0.0000455590300068339
Bakersfield,California,373640,17,10,8,205,0.0000454983406487528
Worcester,Massachusetts,184815,8,7,1,103,0.0000432865297730163
Winston-Salem,North Carolina,241218,10,4,6,122,0.0000414562760656336
Sacramento,California,490712,20,15,8,228,0.0000407571039632208
Clarksville,Tennessee,149176,6,3,3,89,0.0000402209470692337
Madison,Wisconsin,248951,10,4,6,164,0.0000401685472241525
